iso_a0,pais,adm_1_name,ano,mes,casos_dengue,incidencia_dengue,agua_basica,tmax_promedio,tmin_promedio,precipitacion,humedad_promedio,tmax_lag1,tmax_lag2,tmax_lag3,tmin_lag1,tmin_lag2,tmin_lag3,precipitacion_lag1,precipitacion_lag2,precipitacion_lag3,humedad_lag1,humedad_lag2,humedad_lag3,incidencia_lag1,incidencia_lag2,incidencia_lag3,poblacion
ARG,Argentina,BUENOS AIRES,2014,4,0,0.0,98.9232,25.06,10.91,3.17,78.05,25.79,29.68,33.35,12.9,17.44,16.63,4.68,8.14,6.33,73.81,80.32,68.75,0.0,0.0,0.0,16258055
ARG,Argentina,BUENOS AIRES,2014,5,0,0.0,98.9232,20.46,8.09,3.89,81.76,25.06,25.79,29.68,10.91,12.9,17.44,3.17,4.68,8.14,78.05,73.81,80.32,0.0,0.0,0.0,16258055
ARG,Argentina,BUENOS AIRES,2014,6,0,0.0,98.9232,19.33,7.53,1.18,79.79,20.46,25.06,25.79,8.09,10.91,12.9,3.89,3.17,4.68,81.76,78.05,73.81,0.0,0.0,0.0,16258055
ARG,Argentina,BUENOS AIRES,2014,7,0,0.0,98.9232,18.01,5.4,4.7,83.46,19.33,20.46,25.06,7.53,8.09,10.91,1.18,3.89,3.17,79.79,81.76,78.05,0.0,0.0,0.0,16258055
ARG,Argentina,BUENOS AIRES,2014,8,0,0.0,98.9232,22.52,6.55,0.82,79.01,18.01,19.33,20.46,5.4,7.53,8.09,4.7,1.18,3.89,83.46,79.79,81.76,0.0,0.0,0.0,16258055
ARG,Argentina,BUENOS AIRES,2014,9,0,0.0,98.9232,20.72,10.78,5.44,76.78,22.52,18.01,19.33,6.55,5.4,7.53,0.82,4.7,1.18,79.01,83.46,79.79,0.0,0.0,0.0,16258055
ARG,Argentina,BUENOS AIRES,2014,10,0,0.0,98.9232,28.63,11.21,5.92,77.26,20.72,22.52,18.01,10.78,6.55,5.4,5.44,0.82,4.7,76.78,79.01,83.46,0.0,0.0,0.0,16258055
ARG,Argentina,BUENOS AIRES,2014,11,0,0.0,98.9232,27.12,12.42,6.88,71.2,28.63,20.72,22.52,11.21,10.78,6.55,5.92,5.44,0.82,77.26,76.78,79.01,0.0,0.0,0.0,16258055
ARG,Argentina,BUENOS AIRES,2014,12,0,0.0,98.9232,30.3,15.11,2.4,70.86,27.12,28.63,20.72,12.42,11.21,10.78,6.88,5.92,5.44,71.2,77.26,76.78,0.0,0.0,0.0,16258055
ARG,Argentina,BUENOS AIRES,2015,1,0,0.0,98.9823,30.21,16.61,5.04,73.07,30.3,27.12,28.63,15.11,12.42,11.21,2.4,6.88,5.92,70.86,71.2,77.26,0.0,0.0,0.0,16416297
ARG,Argentina,BUENOS AIRES,2015,2,0,0.0,98.9823,30.17,15.78,1.07,69.64,30.21,30.3,27.12,16.61,15.11,12.42,5.04,2.4,6.88,73.07,70.86,71.2,0.0,0.0,0.0,16416297
ARG,Argentina,BUENOS AIRES,2015,3,0,0.0,98.9823,29.54,15.75,1.01,69.98,30.17,30.21,30.3,15.78,16.61,15.11,1.07,5.04,2.4,69.64,73.07,70.86,0.0,0.0,0.0,16416297
ARG,Argentina,BUENOS AIRES,2015,4,0,0.0,98.9823,27.48,15.34,1.86,70.62,29.54,30.17,30.21,15.75,15.78,16.61,1.01,1.07,5.04,69.98,69.64,73.07,0.0,0.0,0.0,16416297
ARG,Argentina,BUENOS AIRES,2015,5,0,0.0,98.9823,24.09,11.02,1.12,77.84,27.48,29.54,30.17,15.34,15.75,15.78,1.86,1.01,1.07,70.62,69.98,69.64,0.0,0.0,0.0,16416297
ARG,Argentina,BUENOS AIRES,2015,6,0,0.0,98.9823,21.92,5.7,1.6,76.56,24.09,27.48,29.54,11.02,15.34,15.75,1.12,1.86,1.01,77.84,70.62,69.98,0.0,0.0,0.0,16416297
ARG,Argentina,BUENOS AIRES,2015,7,0,0.0,98.9823,20.8,5.99,1.7,79.46,21.92,24.09,27.48,5.7,11.02,15.34,1.6,1.12,1.86,76.56,77.84,70.62,0.0,0.0,0.0,16416297
ARG,Argentina,BUENOS AIRES,2015,8,0,0.0,98.9823,21.12,8.13,6.26,81.76,20.8,21.92,24.09,5.99,5.7,11.02,1.7,1.6,1.12,79.46,76.56,77.84,0.0,0.0,0.0,16416297
ARG,Argentina,BUENOS AIRES,2015,9,0,0.0,98.9823,19.73,5.88,1.02,71.74,21.12,20.8,21.92,8.13,5.99,5.7,6.26,1.7,1.6,81.76,79.46,76.56,0.0,0.0,0.0,16416297
ARG,Argentina,BUENOS AIRES,2015,10,0,0.0,98.9823,23.4,6.31,2.35,76.88,19.73,21.12,20.8,5.88,8.13,5.99,1.02,6.26,1.7,71.74,81.76,79.46,0.0,0.0,0.0,16416297
ARG,Argentina,BUENOS AIRES,2015,11,0,0.0,98.9823,26.22,13.55,5.57,69.01,23.4,19.73,21.12,6.31,5.88,8.13,2.35,1.02,6.26,76.88,71.74,81.76,0.0,0.0,0.0,16416297
ARG,Argentina,BUENOS AIRES,2015,12,0,0.0,98.9823,31.41,14.04,1.96,68.96,26.22,23.4,19.73,13.55,6.31,5.88,5.57,2.35,1.02,69.01,76.88,71.74,0.0,0.0,0.0,16416297
ARG,Argentina,BUENOS AIRES,2016,1,0,0.0,99.0414,32.7,20.63,1.56,67.12,31.41,26.22,23.4,14.04,13.55,6.31,1.96,5.57,2.35,68.96,69.01,76.88,0.0,0.0,0.0,16574540
ARG,Argentina,BUENOS AIRES,2016,2,0,0.0,99.0414,31.77,18.3,5.14,70.28,32.7,31.41,26.22,20.63,14.04,13.55,1.56,1.96,5.57,67.12,68.96,69.01,0.0,0.0,0.0,16574540
ARG,Argentina,BUENOS AIRES,2016,3,0,0.0,99.0414,29.2,15.45,2.32,72.91,31.77,32.7,31.41,18.3,20.63,14.04,5.14,1.56,1.96,70.28,67.12,68.96,0.0,0.0,0.0,16574540
ARG,Argentina,BUENOS AIRES,2016,4,0,0.0,99.0414,26.43,8.61,6.79,81.11,29.2,31.77,32.7,15.45,18.3,20.63,2.32,5.14,1.56,72.91,70.28,67.12,0.0,0.0,0.0,16574540
ARG,Argentina,BUENOS AIRES,2016,5,0,0.0,99.0414,17.67,8.13,1.26,82.04,26.43,29.2,31.77,8.61,15.45,18.3,6.79,2.32,5.14,81.11,72.91,70.28,0.0,0.0,0.0,16574540
ARG,Argentina,BUENOS AIRES,2016,6,0,0.0,99.0414,14.96,5.12,1.05,83.3,17.67,26.43,29.2,8.13,8.61,15.45,1.26,6.79,2.32,82.04,81.11,72.91,0.0,0.0,0.0,16574540
ARG,Argentina,BUENOS AIRES,2016,7,0,0.0,99.0414,15.05,4.99,4.97,85.65,14.96,17.67,26.43,5.12,8.13,8.61,1.05,1.26,6.79,83.3,82.04,81.11,0.0,0.0,0.0,16574540
ARG,Argentina,BUENOS AIRES,2016,8,0,0.0,99.0414,21.43,5.89,1.76,80.64,15.05,14.96,17.67,4.99,5.12,8.13,4.97,1.05,1.26,85.65,83.3,82.04,0.0,0.0,0.0,16574540
ARG,Argentina,BUENOS AIRES,2016,9,0,0.0,99.0414,21.93,7.72,1.77,78.05,21.43,15.05,14.96,5.89,4.99,5.12,1.76,4.97,1.05,80.64,85.65,83.3,0.0,0.0,0.0,16574540
ARG,Argentina,BUENOS AIRES,2016,10,0,0.0,99.0414,23.76,9.3,3.53,79.79,21.93,21.43,15.05,7.72,5.89,4.99,1.77,1.76,4.97,78.05,80.64,85.65,0.0,0.0,0.0,16574540
ARG,Argentina,BUENOS AIRES,2016,11,0,0.0,99.0414,27.71,11.51,2.93,69.96,23.76,21.93,21.43,9.3,7.72,5.89,3.53,1.77,1.76,79.79,78.05,80.64,0.0,0.0,0.0,16574540
ARG,Argentina,BUENOS AIRES,2016,12,0,0.0,99.0414,30.89,15.73,3.18,64.47,27.71,23.76,21.93,11.51,9.3,7.72,2.93,3.53,1.77,69.96,79.79,78.05,0.0,0.0,0.0,16574540
ARG,Argentina,BUENOS AIRES,2017,1,0,0.0,99.0414,31.1,17.83,3.2,69.07,30.89,27.71,23.76,15.73,11.51,9.3,3.18,2.93,3.53,64.47,69.96,79.79,0.0,0.0,0.0,16732783
ARG,Argentina,BUENOS AIRES,2017,2,0,0.0,99.0414,30.54,16.81,4.42,77.13,31.1,30.89,27.71,17.83,15.73,11.51,3.2,3.18,2.93,69.07,64.47,69.96,0.0,0.0,0.0,16732783
ARG,Argentina,BUENOS AIRES,2017,3,0,0.0,99.0414,31.74,15.75,2.36,71.88,30.54,31.1,30.89,16.81,17.83,15.73,4.42,3.2,3.18,77.13,69.07,64.47,0.0,0.0,0.0,16732783
ARG,Argentina,BUENOS AIRES,2017,4,0,0.0,99.0414,26.17,11.42,2.93,75.03,31.74,30.54,31.1,15.75,16.81,17.83,2.36,4.42,3.2,71.88,77.13,69.07,0.0,0.0,0.0,16732783
ARG,Argentina,BUENOS AIRES,2017,5,0,0.0,99.0414,22.48,10.92,3.62,81.72,26.17,31.74,30.54,11.42,15.75,16.81,2.93,2.36,4.42,75.03,71.88,77.13,0.0,0.0,0.0,16732783
ARG,Argentina,BUENOS AIRES,2017,6,0,0.0,99.0414,20.64,6.77,0.05,78.92,22.48,26.17,31.74,10.92,11.42,15.75,3.62,2.93,2.36,81.72,75.03,71.88,0.0,0.0,0.0,16732783
ARG,Argentina,BUENOS AIRES,2017,7,0,0.0,99.0414,19.47,4.84,3.18,84.57,20.64,22.48,26.17,6.77,10.92,11.42,0.05,3.62,2.93,78.92,81.72,75.03,0.0,0.0,0.0,16732783
ARG,Argentina,BUENOS AIRES,2017,8,0,0.0,99.0414,20.11,8.58,4.74,81.86,19.47,20.64,22.48,4.84,6.77,10.92,3.18,0.05,3.62,84.57,78.92,81.72,0.0,0.0,0.0,16732783
ARG,Argentina,BUENOS AIRES,2017,9,0,0.0,99.0414,21.19,9.03,4.7,81.41,20.11,19.47,20.64,8.58,4.84,6.77,4.74,3.18,0.05,81.86,84.57,78.92,0.0,0.0,0.0,16732783
ARG,Argentina,BUENOS AIRES,2017,10,0,0.0,99.0414,23.03,10.8,3.65,75.1,21.19,20.11,19.47,9.03,8.58,4.84,4.7,4.74,3.18,81.41,81.86,84.57,0.0,0.0,0.0,16732783
ARG,Argentina,BUENOS AIRES,2017,11,0,0.0,99.0414,27.91,12.49,1.33,67.98,23.03,21.19,20.11,10.8,9.03,8.58,3.65,4.7,4.74,75.1,81.41,81.86,0.0,0.0,0.0,16732783
ARG,Argentina,BUENOS AIRES,2017,12,0,0.0,99.0414,33.07,16.27,3.31,68.58,27.91,23.03,21.19,12.49,10.8,9.03,1.33,3.65,4.7,67.98,75.1,81.41,0.0,0.0,0.0,16732783
ARG,Argentina,BUENOS AIRES,2018,1,0,0.0,99.0414,32.71,19.53,1.75,66.29,33.07,27.91,23.03,16.27,12.49,10.8,3.31,1.33,3.65,68.58,67.98,75.1,0.0,0.0,0.0,16891025
ARG,Argentina,BUENOS AIRES,2018,2,0,0.0,99.0414,33.7,16.64,2.52,65.95,32.71,33.07,27.91,19.53,16.27,12.49,1.75,3.31,1.33,66.29,68.58,67.98,0.0,0.0,0.0,16891025
ARG,Argentina,BUENOS AIRES,2018,3,0,0.0,99.0414,29.75,13.09,3.84,65.43,33.7,32.71,33.07,16.64,19.53,16.27,2.52,1.75,3.31,65.95,66.29,68.58,0.0,0.0,0.0,16891025
ARG,Argentina,BUENOS AIRES,2018,4,0,0.0,99.0414,27.04,14.14,6.08,81.24,29.75,33.7,32.71,13.09,16.64,19.53,3.84,2.52,1.75,65.43,65.95,66.29,0.0,0.0,0.0,16891025
ARG,Argentina,BUENOS AIRES,2018,5,0,0.0,99.0414,22.16,10.5,6.23,82.18,27.04,29.75,33.7,14.14,13.09,16.64,6.08,3.84,2.52,81.24,65.43,65.95,0.0,0.0,0.0,16891025
ARG,Argentina,BUENOS AIRES,2018,6,0,0.0,99.0414,16.35,3.89,0.32,80.28,22.16,27.04,29.75,10.5,14.14,13.09,6.23,6.08,3.84,82.18,81.24,65.43,0.0,0.0,0.0,16891025
ARG,Argentina,BUENOS AIRES,2018,7,0,0.0,99.0414,15.78,4.4,3.77,84.3,16.35,22.16,27.04,3.89,10.5,14.14,0.32,6.23,6.08,80.28,82.18,81.24,0.0,0.0,0.0,16891025
ARG,Argentina,BUENOS AIRES,2018,8,0,0.0,99.0414,19.5,5.68,1.84,81.23,15.78,16.35,22.16,4.4,3.89,10.5,3.77,0.32,6.23,84.3,80.28,82.18,0.0,0.0,0.0,16891025
ARG,Argentina,BUENOS AIRES,2018,9,0,0.0,99.0414,24.51,9.82,3.64,82.04,19.5,15.78,16.35,5.68,4.4,3.89,1.84,3.77,0.32,81.23,84.3,80.28,0.0,0.0,0.0,16891025
ARG,Argentina,BUENOS AIRES,2018,10,0,0.0,99.0414,24.87,11.67,0.94,73.59,24.51,19.5,15.78,9.82,5.68,4.4,3.64,1.84,3.77,82.04,81.23,84.3,0.0,0.0,0.0,16891025
ARG,Argentina,BUENOS AIRES,2018,11,0,0.0,99.0414,27.83,11.36,4.55,74.54,24.87,24.51,19.5,11.67,9.82,5.68,0.94,3.64,1.84,73.59,82.04,81.23,0.0,0.0,0.0,16891025
ARG,Argentina,BUENOS AIRES,2018,12,0,0.0,99.0414,28.88,12.49,7.46,71.54,27.83,24.87,24.51,11.36,11.67,9.82,4.55,0.94,3.64,74.54,73.59,82.04,0.0,0.0,0.0,16891025
ARG,Argentina,BUENOS AIRES,2019,1,0,0.0,99.0414,31.8,18.53,3.47,75.82,28.88,27.83,24.87,12.49,11.36,11.67,7.46,4.55,0.94,71.54,74.54,73.59,0.0,0.0,0.0,17049268
ARG,Argentina,BUENOS AIRES,2019,2,8,0.0469,99.0414,31.79,16.12,2.82,68.64,31.8,28.88,27.83,18.53,12.49,11.36,3.47,7.46,4.55,75.82,71.54,74.54,0.0,0.0,0.0,17049268
ARG,Argentina,BUENOS AIRES,2019,3,3,0.0176,99.0414,28.4,13.68,3.51,75.02,31.79,31.8,28.88,16.12,18.53,12.49,2.82,3.47,7.46,68.64,75.82,71.54,0.0469,0.0,0.0,17049268
ARG,Argentina,BUENOS AIRES,2019,4,10,0.0587,99.0414,27.18,14.35,1.06,73.49,28.4,31.79,31.8,13.68,16.12,18.53,3.51,2.82,3.47,75.02,68.64,75.82,0.0176,0.0469,0.0,17049268
ARG,Argentina,BUENOS AIRES,2019,5,1,0.0059,99.0414,22.25,11.29,2.89,80.02,27.18,28.4,31.79,14.35,13.68,16.12,1.06,3.51,2.82,73.49,75.02,68.64,0.0587,0.0176,0.0469,17049268
ARG,Argentina,BUENOS AIRES,2019,6,1,0.0059,99.0414,19.95,8.9,5.3,84.34,22.25,27.18,28.4,11.29,14.35,13.68,2.89,1.06,3.51,80.02,73.49,75.02,0.0059,0.0587,0.0176,17049268
ARG,Argentina,BUENOS AIRES,2019,7,0,0.0,99.0414,19.21,4.79,2.77,81.54,19.95,22.25,27.18,8.9,11.29,14.35,5.3,2.89,1.06,84.34,80.02,73.49,0.0059,0.0059,0.0587,17049268
ARG,Argentina,BUENOS AIRES,2019,8,0,0.0,99.0414,19.94,4.88,1.27,78.63,19.21,19.95,22.25,4.79,8.9,11.29,2.77,5.3,2.89,81.54,84.34,80.02,0.0,0.0059,0.0059,17049268
ARG,Argentina,BUENOS AIRES,2019,9,0,0.0,99.0414,23.04,5.8,1.2,73.64,19.94,19.21,19.95,4.88,4.79,8.9,1.27,2.77,5.3,78.63,81.54,84.34,0.0,0.0,0.0059,17049268
ARG,Argentina,BUENOS AIRES,2019,10,0,0.0,99.0414,24.48,10.95,5.76,77.42,23.04,19.94,19.21,5.8,4.88,4.79,1.2,1.27,2.77,73.64,78.63,81.54,0.0,0.0,0.0,17049268
ARG,Argentina,BUENOS AIRES,2019,11,0,0.0,99.0414,30.53,15.41,1.93,71.76,24.48,23.04,19.94,10.95,5.8,4.88,5.76,1.2,1.27,77.42,73.64,78.63,0.0,0.0,0.0,17049268
ARG,Argentina,BUENOS AIRES,2019,12,0,0.0,99.0414,31.17,13.92,3.37,66.39,30.53,24.48,23.04,15.41,10.95,5.8,1.93,5.76,1.2,71.76,77.42,73.64,0.0,0.0,0.0,17049268
ARG,Argentina,BUENOS AIRES,2020,1,28,0.1627,99.0414,32.75,17.58,2.38,65.65,31.17,30.53,24.48,13.92,15.41,10.95,3.37,1.93,5.76,66.39,71.76,77.42,0.0,0.0,0.0,17207511
ARG,Argentina,BUENOS AIRES,2020,2,486,2.8243,99.0414,32.16,15.08,1.96,67.11,32.75,31.17,30.53,17.58,13.92,15.41,2.38,3.37,1.93,65.65,66.39,71.76,0.1627,0.0,0.0,17207511
ARG,Argentina,BUENOS AIRES,2020,3,3233,18.7883,99.0414,30.87,18.16,3.47,73.72,32.16,32.75,31.17,15.08,17.58,13.92,1.96,2.38,3.37,67.11,65.65,66.39,2.8243,0.1627,0.0,17207511
ARG,Argentina,BUENOS AIRES,2020,4,1688,9.8097,99.0414,25.97,12.37,2.93,75.06,30.87,32.16,32.75,18.16,15.08,17.58,3.47,1.96,2.38,73.72,67.11,65.65,18.7883,2.8243,0.1627,17207511
ARG,Argentina,BUENOS AIRES,2020,5,440,2.557,99.0414,21.49,8.81,0.37,77.63,25.97,30.87,32.16,12.37,18.16,15.08,2.93,3.47,1.96,75.06,73.72,67.11,9.8097,18.7883,2.8243,17207511
ARG,Argentina,BUENOS AIRES,2020,6,11,0.0639,99.0414,19.22,6.88,3.18,80.63,21.49,25.97,30.87,8.81,12.37,18.16,0.37,2.93,3.47,77.63,75.06,73.72,2.557,9.8097,18.7883,17207511
ARG,Argentina,BUENOS AIRES,2020,7,1,0.0058,99.0414,18.62,4.77,0.33,78.01,19.22,21.49,25.97,6.88,8.81,12.37,3.18,0.37,2.93,80.63,77.63,75.06,0.0639,2.557,9.8097,17207511
ARG,Argentina,BUENOS AIRES,2020,8,2,0.0116,99.0414,20.29,5.55,1.03,75.79,18.62,19.22,21.49,4.77,6.88,8.81,0.33,3.18,0.37,78.01,80.63,77.63,0.0058,0.0639,2.557,17207511
ARG,Argentina,BUENOS AIRES,2020,9,2,0.0116,99.0414,23.54,8.38,2.84,74.43,20.29,18.62,19.22,5.55,4.77,6.88,1.03,0.33,3.18,75.79,78.01,80.63,0.0116,0.0058,0.0639,17207511
ARG,Argentina,BUENOS AIRES,2020,10,1,0.0058,99.0414,28.23,9.87,3.4,74.33,23.54,20.29,18.62,8.38,5.55,4.77,2.84,1.03,0.33,74.43,75.79,78.01,0.0116,0.0116,0.0058,17207511
ARG,Argentina,BUENOS AIRES,2020,11,5,0.0291,99.0414,29.98,14.77,1.72,69.68,28.23,23.54,20.29,9.87,8.38,5.55,3.4,2.84,1.03,74.33,74.43,75.79,0.0058,0.0116,0.0116,17207511
ARG,Argentina,BUENOS AIRES,2020,12,1,0.0058,99.0414,30.45,15.22,1.29,63.96,29.98,28.23,23.54,14.77,9.87,8.38,1.72,3.4,2.84,69.68,74.33,74.43,0.0291,0.0058,0.0116,17207511
ARG,Argentina,BUENOS AIRES,2021,1,0,0.0,99.0414,31.87,17.7,3.63,66.24,30.45,29.98,28.23,15.22,14.77,9.87,1.29,1.72,3.4,63.96,69.68,74.33,0.0058,0.0291,0.0058,17365753
ARG,Argentina,BUENOS AIRES,2021,2,0,0.0,99.0414,30.32,17.99,3.9,70.77,31.87,30.45,29.98,17.7,15.22,14.77,3.63,1.29,1.72,66.24,63.96,69.68,0.0,0.0058,0.0291,17365753
ARG,Argentina,BUENOS AIRES,2021,3,4,0.023,99.0414,29.9,13.96,2.79,73.48,30.32,31.87,30.45,17.99,17.7,15.22,3.9,3.63,1.29,70.77,66.24,63.96,0.0,0.0,0.0058,17365753
ARG,Argentina,BUENOS AIRES,2021,4,4,0.023,99.0414,26.76,14.05,2.29,77.14,29.9,30.32,31.87,13.96,17.99,17.7,2.79,3.9,3.63,73.48,70.77,66.24,0.023,0.0,0.0,17365753
ARG,Argentina,BUENOS AIRES,2021,5,0,0.0,99.0414,24.31,8.42,2.48,75.4,26.76,29.9,30.32,14.05,13.96,17.99,2.29,2.79,3.9,77.14,73.48,70.77,0.023,0.023,0.0,17365753
ARG,Argentina,BUENOS AIRES,2021,6,0,0.0,99.0414,18.1,6.8,1.01,82.71,24.31,26.76,29.9,8.42,14.05,13.96,2.48,2.29,2.79,75.4,77.14,73.48,0.0,0.023,0.023,17365753
ARG,Argentina,BUENOS AIRES,2021,7,0,0.0,99.0414,18.26,4.84,1.52,80.45,18.1,24.31,26.76,6.8,8.42,14.05,1.01,2.48,2.29,82.71,75.4,77.14,0.0,0.0,0.023,17365753
ARG,Argentina,BUENOS AIRES,2021,8,0,0.0,99.0414,21.66,4.41,1.46,79.18,18.26,18.1,24.31,4.84,6.8,8.42,1.52,1.01,2.48,80.45,82.71,75.4,0.0,0.0,0.0,17365753
ARG,Argentina,BUENOS AIRES,2021,9,0,0.0,99.0414,21.54,8.92,4.16,82.66,21.66,18.26,18.1,4.41,4.84,6.8,1.46,1.52,1.01,79.18,80.45,82.71,0.0,0.0,0.0,17365753
ARG,Argentina,BUENOS AIRES,2021,10,0,0.0,99.0414,31.24,9.05,0.97,70.06,21.54,21.66,18.26,8.92,4.41,4.84,4.16,1.46,1.52,82.66,79.18,80.45,0.0,0.0,0.0,17365753
ARG,Argentina,BUENOS AIRES,2021,11,0,0.0,99.0414,30.47,12.31,3.6,68.42,31.24,21.54,21.66,9.05,8.92,4.41,0.97,4.16,1.46,70.06,82.66,79.18,0.0,0.0,0.0,17365753
ARG,Argentina,BUENOS AIRES,2021,12,0,0.0,99.0414,33.77,17.26,0.75,67.27,30.47,31.24,21.54,12.31,9.05,8.92,3.6,0.97,4.16,68.42,70.06,82.66,0.0,0.0,0.0,17365753
ARG,Argentina,BUENOS AIRES,2022,1,0,0.0,99.0414,36.06,17.66,4.62,68.14,33.77,30.47,31.24,17.26,12.31,9.05,0.75,3.6,0.97,67.27,68.42,70.06,0.0,0.0,0.0,17523996
ARG,Argentina,BUENOS AIRES,2022,2,0,0.0,99.0414,31.99,15.9,4.13,71.38,36.06,33.77,30.47,17.66,17.26,12.31,4.62,0.75,3.6,68.14,67.27,68.42,0.0,0.0,0.0,17523996
ARG,Argentina,BUENOS AIRES,2022,3,0,0.0,99.0414,27.36,11.9,2.43,72.72,31.99,36.06,33.77,15.9,17.66,17.26,4.13,4.62,0.75,71.38,68.14,67.27,0.0,0.0,0.0,17523996
ARG,Argentina,BUENOS AIRES,2022,4,0,0.0,99.0414,24.11,9.83,2.14,71.19,27.36,31.99,36.06,11.9,15.9,17.66,2.43,4.13,4.62,72.72,71.38,68.14,0.0,0.0,0.0,17523996
ARG,Argentina,BUENOS AIRES,2022,5,0,0.0,99.0414,20.97,6.39,1.09,76.31,24.11,27.36,31.99,9.83,11.9,15.9,2.14,2.43,4.13,71.19,72.72,71.38,0.0,0.0,0.0,17523996
ARG,Argentina,BUENOS AIRES,2022,6,0,0.0,99.0414,15.55,6.12,0.02,77.85,20.97,24.11,27.36,6.39,9.83,11.9,1.09,2.14,2.43,76.31,71.19,72.72,0.0,0.0,0.0,17523996
ARG,Argentina,BUENOS AIRES,2022,7,0,0.0,99.0414,19.74,5.58,1.38,82.84,15.55,20.97,24.11,6.12,6.39,9.83,0.02,1.09,2.14,77.85,76.31,71.19,0.0,0.0,0.0,17523996
ARG,Argentina,BUENOS AIRES,2022,8,0,0.0,99.0414,23.06,6.6,0.78,75.42,19.74,15.55,20.97,5.58,6.12,6.39,1.38,0.02,1.09,82.84,77.85,76.31,0.0,0.0,0.0,17523996
ARG,Argentina,BUENOS AIRES,2022,9,0,0.0,99.0414,21.95,8.33,0.59,69.4,23.06,19.74,15.55,6.6,5.58,6.12,0.78,1.38,0.02,75.42,82.84,77.85,0.0,0.0,0.0,17523996
ARG,Argentina,BUENOS AIRES,2022,10,0,0.0,99.0414,27.46,9.7,0.4,69.26,21.95,23.06,19.74,8.33,6.6,5.58,0.59,0.78,1.38,69.4,75.42,82.84,0.0,0.0,0.0,17523996
ARG,Argentina,BUENOS AIRES,2022,11,0,0.0,99.0414,32.47,11.69,0.61,62.95,27.46,21.95,23.06,9.7,8.33,6.6,0.4,0.59,0.78,69.26,69.4,75.42,0.0,0.0,0.0,17523996
ARG,Argentina,BUENOS AIRES,2022,12,0,0.0,99.0414,36.43,16.41,1.46,58.3,32.47,27.46,21.95,11.69,9.7,8.33,0.61,0.4,0.59,62.95,69.26,69.4,0.0,0.0,0.0,17523996
ARG,Argentina,CATAMARCA,2014,4,0,0.0,98.9232,32.85,8.59,1.45,66.39,32.9,37.65,40.15,10.96,12.53,12.68,2.43,6.32,2.49,63.59,63.83,51.26,0.0,0.0,0.0,388406
ARG,Argentina,CATAMARCA,2014,5,0,0.0,98.9232,28.95,2.87,0.3,60.4,32.85,32.9,37.65,8.59,10.96,12.53,1.45,2.43,6.32,66.39,63.59,63.83,0.0,0.0,0.0,388406
ARG,Argentina,CATAMARCA,2014,6,0,0.0,98.9232,25.82,1.28,0.64,52.14,28.95,32.85,32.9,2.87,8.59,10.96,0.3,1.45,2.43,60.4,66.39,63.59,0.0,0.0,0.0,388406
ARG,Argentina,CATAMARCA,2014,7,0,0.0,98.9232,26.88,1.28,0.14,48.6,25.82,28.95,32.85,1.28,2.87,8.59,0.64,0.3,1.45,52.14,60.4,66.39,0.0,0.0,0.0,388406
ARG,Argentina,CATAMARCA,2014,8,0,0.0,98.9232,34.91,3.8,0.0,38.17,26.88,25.82,28.95,1.28,1.28,2.87,0.14,0.64,0.3,48.6,52.14,60.4,0.0,0.0,0.0,388406
ARG,Argentina,CATAMARCA,2014,9,0,0.0,98.9232,35.91,6.0,0.13,38.1,34.91,26.88,25.82,3.8,1.28,1.28,0.0,0.14,0.64,38.17,48.6,52.14,0.0,0.0,0.0,388406
ARG,Argentina,CATAMARCA,2014,10,0,0.0,98.9232,39.75,9.65,0.51,38.45,35.91,34.91,26.88,6.0,3.8,1.28,0.13,0.0,0.14,38.1,38.17,48.6,0.0,0.0,0.0,388406
ARG,Argentina,CATAMARCA,2014,11,0,0.0,98.9232,38.05,12.86,1.38,44.54,39.75,35.91,34.91,9.65,6.0,3.8,0.51,0.13,0.0,38.45,38.1,38.17,0.0,0.0,0.0,388406
ARG,Argentina,CATAMARCA,2014,12,0,0.0,98.9232,41.61,11.79,2.78,48.71,38.05,39.75,35.91,12.86,9.65,6.0,1.38,0.51,0.13,44.54,38.45,38.1,0.0,0.0,0.0,388406
ARG,Argentina,CATAMARCA,2015,1,0,0.0,98.9823,37.13,15.33,5.13,58.6,41.61,38.05,39.75,11.79,12.86,9.65,2.78,1.38,0.51,48.71,44.54,38.45,0.0,0.0,0.0,393550
ARG,Argentina,CATAMARCA,2015,2,0,0.0,98.9823,35.77,12.07,4.41,64.22,37.13,41.61,38.05,15.33,11.79,12.86,5.13,2.78,1.38,58.6,48.71,44.54,0.0,0.0,0.0,393550
ARG,Argentina,CATAMARCA,2015,3,0,0.0,98.9823,33.25,11.9,2.52,70.24,35.77,37.13,41.61,12.07,15.33,11.79,4.41,5.13,2.78,64.22,58.6,48.71,0.0,0.0,0.0,393550
ARG,Argentina,CATAMARCA,2015,4,0,0.0,98.9823,31.13,11.2,0.42,65.75,33.25,35.77,37.13,11.9,12.07,15.33,2.52,4.41,5.13,70.24,64.22,58.6,0.0,0.0,0.0,393550
ARG,Argentina,CATAMARCA,2015,5,0,0.0,98.9823,29.27,8.3,0.19,59.75,31.13,33.25,35.77,11.2,11.9,12.07,0.42,2.52,4.41,65.75,70.24,64.22,0.0,0.0,0.0,393550
