iso_a0,pais,adm_1_name,ano,mes,tmax_promedio,tmin_promedio,precipitacion,humedad_promedio
ARG,Argentina,BUENOS AIRES,2010,1,30.65,18.56,3.77,70.6
ARG,Argentina,BUENOS AIRES,2010,2,29.97,15.64,10.0,77.01
ARG,Argentina,BUENOS AIRES,2010,3,27.4,15.37,2.26,75.96
ARG,Argentina,BUENOS AIRES,2010,4,25.51,10.94,2.3,74.44
ARG,Argentina,BUENOS AIRES,2010,5,22.1,8.74,3.91,80.67
ARG,Argentina,BUENOS AIRES,2010,6,17.36,6.1,1.83,81.48
ARG,Argentina,BUENOS AIRES,2010,7,20.18,3.83,3.15,81.82
ARG,Argentina,BUENOS AIRES,2010,8,18.38,4.09,0.84,81.22
ARG,Argentina,BUENOS AIRES,2010,9,20.89,8.22,4.89,81.18
ARG,Argentina,BUENOS AIRES,2010,10,24.4,9.12,1.14,73.72
ARG,Argentina,BUENOS AIRES,2010,11,28.15,11.12,1.03,69.38
ARG,Argentina,BUENOS AIRES,2010,12,31.46,15.01,1.34,62.63
ARG,Argentina,BUENOS AIRES,2011,1,31.32,19.82,3.76,68.9
ARG,Argentina,BUENOS AIRES,2011,2,29.62,17.47,2.15,69.83
ARG,Argentina,BUENOS AIRES,2011,3,29.98,13.9,1.2,67.59
ARG,Argentina,BUENOS AIRES,2011,4,25.25,12.93,3.45,72.54
ARG,Argentina,BUENOS AIRES,2011,5,20.65,9.72,1.43,76.41
ARG,Argentina,BUENOS AIRES,2011,6,17.49,5.22,3.88,81.08
ARG,Argentina,BUENOS AIRES,2011,7,17.93,3.55,2.43,80.27
ARG,Argentina,BUENOS AIRES,2011,8,18.36,4.74,0.94,80.01
ARG,Argentina,BUENOS AIRES,2011,9,23.38,8.33,0.45,72.18
ARG,Argentina,BUENOS AIRES,2011,10,23.98,9.63,2.17,74.73
ARG,Argentina,BUENOS AIRES,2011,11,29.97,13.88,2.38,67.8
ARG,Argentina,BUENOS AIRES,2011,12,31.15,13.56,1.5,66.64
ARG,Argentina,BUENOS AIRES,2012,1,34.05,18.31,1.27,64.34
ARG,Argentina,BUENOS AIRES,2012,2,31.23,17.92,6.96,72.53
ARG,Argentina,BUENOS AIRES,2012,3,29.64,12.36,3.72,75.3
ARG,Argentina,BUENOS AIRES,2012,4,25.72,10.04,2.01,72.41
ARG,Argentina,BUENOS AIRES,2012,5,21.72,8.94,2.73,82.38
ARG,Argentina,BUENOS AIRES,2012,6,18.94,4.72,0.39,80.38
ARG,Argentina,BUENOS AIRES,2012,7,19.02,4.36,0.66,74.78
ARG,Argentina,BUENOS AIRES,2012,8,21.47,7.13,6.5,85.01
ARG,Argentina,BUENOS AIRES,2012,9,24.61,7.98,2.95,78.09
ARG,Argentina,BUENOS AIRES,2012,10,24.21,10.75,8.49,81.33
ARG,Argentina,BUENOS AIRES,2012,11,29.14,14.64,2.94,74.19
ARG,Argentina,BUENOS AIRES,2012,12,29.0,17.38,7.02,70.75
ARG,Argentina,BUENOS AIRES,2013,1,31.75,14.39,1.6,67.41
ARG,Argentina,BUENOS AIRES,2013,2,32.13,15.28,3.26,66.23
ARG,Argentina,BUENOS AIRES,2013,3,27.09,13.1,2.59,68.75
ARG,Argentina,BUENOS AIRES,2013,4,24.14,11.38,4.78,75.8
ARG,Argentina,BUENOS AIRES,2013,5,21.63,7.58,3.09,78.61
ARG,Argentina,BUENOS AIRES,2013,6,20.52,6.37,0.25,77.5
ARG,Argentina,BUENOS AIRES,2013,7,17.79,3.93,1.76,80.69
ARG,Argentina,BUENOS AIRES,2013,8,21.4,5.05,0.32,72.37
ARG,Argentina,BUENOS AIRES,2013,9,25.39,6.33,6.8,78.0
ARG,Argentina,BUENOS AIRES,2013,10,25.24,9.87,0.82,75.55
ARG,Argentina,BUENOS AIRES,2013,11,27.63,14.61,5.09,74.1
ARG,Argentina,BUENOS AIRES,2013,12,34.54,15.95,0.69,62.51
ARG,Argentina,BUENOS AIRES,2014,1,33.35,16.63,6.33,68.75
ARG,Argentina,BUENOS AIRES,2014,2,29.68,17.44,8.14,80.32
ARG,Argentina,BUENOS AIRES,2014,3,25.79,12.9,4.68,73.81
ARG,Argentina,BUENOS AIRES,2014,4,25.06,10.91,3.17,78.05
ARG,Argentina,BUENOS AIRES,2014,5,20.46,8.09,3.89,81.76
ARG,Argentina,BUENOS AIRES,2014,6,19.33,7.53,1.18,79.79
ARG,Argentina,BUENOS AIRES,2014,7,18.01,5.4,4.7,83.46
ARG,Argentina,BUENOS AIRES,2014,8,22.52,6.55,0.82,79.01
ARG,Argentina,BUENOS AIRES,2014,9,20.72,10.78,5.44,76.78
ARG,Argentina,BUENOS AIRES,2014,10,28.63,11.21,5.92,77.26
ARG,Argentina,BUENOS AIRES,2014,11,27.12,12.42,6.88,71.2
ARG,Argentina,BUENOS AIRES,2014,12,30.3,15.11,2.4,70.86
ARG,Argentina,BUENOS AIRES,2015,1,30.21,16.61,5.04,73.07
ARG,Argentina,BUENOS AIRES,2015,2,30.17,15.78,1.07,69.64
ARG,Argentina,BUENOS AIRES,2015,3,29.54,15.75,1.01,69.98
ARG,Argentina,BUENOS AIRES,2015,4,27.48,15.34,1.86,70.62
ARG,Argentina,BUENOS AIRES,2015,5,24.09,11.02,1.12,77.84
ARG,Argentina,BUENOS AIRES,2015,6,21.92,5.7,1.6,76.56
ARG,Argentina,BUENOS AIRES,2015,7,20.8,5.99,1.7,79.46
ARG,Argentina,BUENOS AIRES,2015,8,21.12,8.13,6.26,81.76
ARG,Argentina,BUENOS AIRES,2015,9,19.73,5.88,1.02,71.74
ARG,Argentina,BUENOS AIRES,2015,10,23.4,6.31,2.35,76.88
ARG,Argentina,BUENOS AIRES,2015,11,26.22,13.55,5.57,69.01
ARG,Argentina,BUENOS AIRES,2015,12,31.41,14.04,1.96,68.96
ARG,Argentina,BUENOS AIRES,2016,1,32.7,20.63,1.56,67.12
ARG,Argentina,BUENOS AIRES,2016,2,31.77,18.3,5.14,70.28
ARG,Argentina,BUENOS AIRES,2016,3,29.2,15.45,2.32,72.91
ARG,Argentina,BUENOS AIRES,2016,4,26.43,8.61,6.79,81.11
ARG,Argentina,BUENOS AIRES,2016,5,17.67,8.13,1.26,82.04
ARG,Argentina,BUENOS AIRES,2016,6,14.96,5.12,1.05,83.3
ARG,Argentina,BUENOS AIRES,2016,7,15.05,4.99,4.97,85.65
ARG,Argentina,BUENOS AIRES,2016,8,21.43,5.89,1.76,80.64
ARG,Argentina,BUENOS AIRES,2016,9,21.93,7.72,1.77,78.05
ARG,Argentina,BUENOS AIRES,2016,10,23.76,9.3,3.53,79.79
ARG,Argentina,BUENOS AIRES,2016,11,27.71,11.51,2.93,69.96
ARG,Argentina,BUENOS AIRES,2016,12,30.89,15.73,3.18,64.47
ARG,Argentina,BUENOS AIRES,2017,1,31.1,17.83,3.2,69.07
ARG,Argentina,BUENOS AIRES,2017,2,30.54,16.81,4.42,77.13
ARG,Argentina,BUENOS AIRES,2017,3,31.74,15.75,2.36,71.88
ARG,Argentina,BUENOS AIRES,2017,4,26.17,11.42,2.93,75.03
ARG,Argentina,BUENOS AIRES,2017,5,22.48,10.92,3.62,81.72
ARG,Argentina,BUENOS AIRES,2017,6,20.64,6.77,0.05,78.92
ARG,Argentina,BUENOS AIRES,2017,7,19.47,4.84,3.18,84.57
ARG,Argentina,BUENOS AIRES,2017,8,20.11,8.58,4.74,81.86
ARG,Argentina,BUENOS AIRES,2017,9,21.19,9.03,4.7,81.41
ARG,Argentina,BUENOS AIRES,2017,10,23.03,10.8,3.65,75.1
ARG,Argentina,BUENOS AIRES,2017,11,27.91,12.49,1.33,67.98
ARG,Argentina,BUENOS AIRES,2017,12,33.07,16.27,3.31,68.58
ARG,Argentina,BUENOS AIRES,2018,1,32.71,19.53,1.75,66.29
ARG,Argentina,BUENOS AIRES,2018,2,33.7,16.64,2.52,65.95
ARG,Argentina,BUENOS AIRES,2018,3,29.75,13.09,3.84,65.43
ARG,Argentina,BUENOS AIRES,2018,4,27.04,14.14,6.08,81.24
ARG,Argentina,BUENOS AIRES,2018,5,22.16,10.5,6.23,82.18
ARG,Argentina,BUENOS AIRES,2018,6,16.35,3.89,0.32,80.28
ARG,Argentina,BUENOS AIRES,2018,7,15.78,4.4,3.77,84.3
ARG,Argentina,BUENOS AIRES,2018,8,19.5,5.68,1.84,81.23
ARG,Argentina,BUENOS AIRES,2018,9,24.51,9.82,3.64,82.04
ARG,Argentina,BUENOS AIRES,2018,10,24.87,11.67,0.94,73.59
ARG,Argentina,BUENOS AIRES,2018,11,27.83,11.36,4.55,74.54
ARG,Argentina,BUENOS AIRES,2018,12,28.88,12.49,7.46,71.54
ARG,Argentina,BUENOS AIRES,2019,1,31.8,18.53,3.47,75.82
ARG,Argentina,BUENOS AIRES,2019,2,31.79,16.12,2.82,68.64
ARG,Argentina,BUENOS AIRES,2019,3,28.4,13.68,3.51,75.02
ARG,Argentina,BUENOS AIRES,2019,4,27.18,14.35,1.06,73.49
ARG,Argentina,BUENOS AIRES,2019,5,22.25,11.29,2.89,80.02
ARG,Argentina,BUENOS AIRES,2019,6,19.95,8.9,5.3,84.34
ARG,Argentina,BUENOS AIRES,2019,7,19.21,4.79,2.77,81.54
ARG,Argentina,BUENOS AIRES,2019,8,19.94,4.88,1.27,78.63
ARG,Argentina,BUENOS AIRES,2019,9,23.04,5.8,1.2,73.64
ARG,Argentina,BUENOS AIRES,2019,10,24.48,10.95,5.76,77.42
ARG,Argentina,BUENOS AIRES,2019,11,30.53,15.41,1.93,71.76
ARG,Argentina,BUENOS AIRES,2019,12,31.17,13.92,3.37,66.39
ARG,Argentina,BUENOS AIRES,2020,1,32.75,17.58,2.38,65.65
ARG,Argentina,BUENOS AIRES,2020,2,32.16,15.08,1.96,67.11
ARG,Argentina,BUENOS AIRES,2020,3,30.87,18.16,3.47,73.72
ARG,Argentina,BUENOS AIRES,2020,4,25.97,12.37,2.93,75.06
ARG,Argentina,BUENOS AIRES,2020,5,21.49,8.81,0.37,77.63
ARG,Argentina,BUENOS AIRES,2020,6,19.22,6.88,3.18,80.63
ARG,Argentina,BUENOS AIRES,2020,7,18.62,4.77,0.33,78.01
ARG,Argentina,BUENOS AIRES,2020,8,20.29,5.55,1.03,75.79
ARG,Argentina,BUENOS AIRES,2020,9,23.54,8.38,2.84,74.43
ARG,Argentina,BUENOS AIRES,2020,10,28.23,9.87,3.4,74.33
ARG,Argentina,BUENOS AIRES,2020,11,29.98,14.77,1.72,69.68
ARG,Argentina,BUENOS AIRES,2020,12,30.45,15.22,1.29,63.96
ARG,Argentina,BUENOS AIRES,2021,1,31.87,17.7,3.63,66.24
ARG,Argentina,BUENOS AIRES,2021,2,30.32,17.99,3.9,70.77
ARG,Argentina,BUENOS AIRES,2021,3,29.9,13.96,2.79,73.48
ARG,Argentina,BUENOS AIRES,2021,4,26.76,14.05,2.29,77.14
ARG,Argentina,BUENOS AIRES,2021,5,24.31,8.42,2.48,75.4
ARG,Argentina,BUENOS AIRES,2021,6,18.1,6.8,1.01,82.71
ARG,Argentina,BUENOS AIRES,2021,7,18.26,4.84,1.52,80.45
ARG,Argentina,BUENOS AIRES,2021,8,21.66,4.41,1.46,79.18
ARG,Argentina,BUENOS AIRES,2021,9,21.54,8.92,4.16,82.66
ARG,Argentina,BUENOS AIRES,2021,10,31.24,9.05,0.97,70.06
ARG,Argentina,BUENOS AIRES,2021,11,30.47,12.31,3.6,68.42
ARG,Argentina,BUENOS AIRES,2021,12,33.77,17.26,0.75,67.27
ARG,Argentina,BUENOS AIRES,2022,1,36.06,17.66,4.62,68.14
ARG,Argentina,BUENOS AIRES,2022,2,31.99,15.9,4.13,71.38
ARG,Argentina,BUENOS AIRES,2022,3,27.36,11.9,2.43,72.72
ARG,Argentina,BUENOS AIRES,2022,4,24.11,9.83,2.14,71.19
ARG,Argentina,BUENOS AIRES,2022,5,20.97,6.39,1.09,76.31
ARG,Argentina,BUENOS AIRES,2022,6,15.55,6.12,0.02,77.85
ARG,Argentina,BUENOS AIRES,2022,7,19.74,5.58,1.38,82.84
ARG,Argentina,BUENOS AIRES,2022,8,23.06,6.6,0.78,75.42
ARG,Argentina,BUENOS AIRES,2022,9,21.95,8.33,0.59,69.4
ARG,Argentina,BUENOS AIRES,2022,10,27.46,9.7,0.4,69.26
ARG,Argentina,BUENOS AIRES,2022,11,32.47,11.69,0.61,62.95
ARG,Argentina,BUENOS AIRES,2022,12,36.43,16.41,1.46,58.3
ARG,Argentina,CATAMARCA,2010,1,37.94,15.69,1.85,51.2
ARG,Argentina,CATAMARCA,2010,2,40.75,13.48,2.64,57.26
ARG,Argentina,CATAMARCA,2010,3,36.44,15.26,0.79,58.78
ARG,Argentina,CATAMARCA,2010,4,32.82,7.38,0.96,58.4
ARG,Argentina,CATAMARCA,2010,5,32.44,3.3,0.46,52.33
ARG,Argentina,CATAMARCA,2010,6,30.58,2.62,0.02,42.74
ARG,Argentina,CATAMARCA,2010,7,30.29,-4.7,0.34,37.72
ARG,Argentina,CATAMARCA,2010,8,32.02,-2.64,0.0,40.55
ARG,Argentina,CATAMARCA,2010,9,34.22,1.35,2.35,39.51
ARG,Argentina,CATAMARCA,2010,10,35.6,7.58,0.49,45.41
ARG,Argentina,CATAMARCA,2010,11,38.72,10.39,1.52,38.74
ARG,Argentina,CATAMARCA,2010,12,38.37,10.02,2.06,43.03
ARG,Argentina,CATAMARCA,2011,1,37.99,13.78,2.68,57.9
ARG,Argentina,CATAMARCA,2011,2,35.62,13.86,5.55,67.5
ARG,Argentina,CATAMARCA,2011,3,33.02,10.64,1.32,65.69
ARG,Argentina,CATAMARCA,2011,4,31.24,5.13,0.76,60.29
ARG,Argentina,CATAMARCA,2011,5,30.6,5.44,0.01,57.72
ARG,Argentina,CATAMARCA,2011,6,29.63,1.15,0.11,53.92
ARG,Argentina,CATAMARCA,2011,7,31.77,-3.81,0.14,45.2
ARG,Argentina,CATAMARCA,2011,8,31.27,-0.74,0.09,33.11
ARG,Argentina,CATAMARCA,2011,9,37.94,6.65,0.22,29.25
ARG,Argentina,CATAMARCA,2011,10,36.38,9.23,0.41,36.49
ARG,Argentina,CATAMARCA,2011,11,39.76,13.54,0.41,36.98
ARG,Argentina,CATAMARCA,2011,12,41.18,14.3,1.38,47.0
ARG,Argentina,CATAMARCA,2012,1,40.06,15.61,0.86,43.68
ARG,Argentina,CATAMARCA,2012,2,36.96,16.43,3.61,57.62
ARG,Argentina,CATAMARCA,2012,3,36.22,11.35,2.19,60.54
ARG,Argentina,CATAMARCA,2012,4,34.06,6.5,1.18,65.07
ARG,Argentina,CATAMARCA,2012,5,29.26,8.51,0.05,56.34
ARG,Argentina,CATAMARCA,2012,6,31.8,0.88,0.0,42.87
ARG,Argentina,CATAMARCA,2012,7,27.29,0.61,0.1,37.84
ARG,Argentina,CATAMARCA,2012,8,34.37,1.28,0.05,38.43
ARG,Argentina,CATAMARCA,2012,9,36.5,5.81,0.4,39.03
ARG,Argentina,CATAMARCA,2012,10,37.24,9.82,0.46,38.72
ARG,Argentina,CATAMARCA,2012,11,37.93,13.98,0.53,46.33
ARG,Argentina,CATAMARCA,2012,12,42.24,14.84,0.53,38.42
ARG,Argentina,CATAMARCA,2013,1,37.87,14.36,2.75,52.59
ARG,Argentina,CATAMARCA,2013,2,38.32,14.21,2.04,53.43
ARG,Argentina,CATAMARCA,2013,3,37.04,12.73,1.23,57.18
ARG,Argentina,CATAMARCA,2013,4,31.86,10.17,0.62,50.01
ARG,Argentina,CATAMARCA,2013,5,30.48,5.2,0.28,44.96
ARG,Argentina,CATAMARCA,2013,6,28.24,0.81,0.54,45.0
ARG,Argentina,CATAMARCA,2013,7,32.82,-3.91,0.01,40.6
ARG,Argentina,CATAMARCA,2013,8,33.47,-0.65,0.12,29.03
ARG,Argentina,CATAMARCA,2013,9,38.68,1.12,0.34,34.87
ARG,Argentina,CATAMARCA,2013,10,39.78,7.27,1.1,41.05
ARG,Argentina,CATAMARCA,2013,11,39.13,10.25,1.08,40.68
ARG,Argentina,CATAMARCA,2013,12,40.66,17.5,2.2,48.01
ARG,Argentina,CATAMARCA,2014,1,40.15,12.68,2.49,51.26
ARG,Argentina,CATAMARCA,2014,2,37.65,12.53,6.32,63.83
ARG,Argentina,CATAMARCA,2014,3,32.9,10.96,2.43,63.59
ARG,Argentina,CATAMARCA,2014,4,32.85,8.59,1.45,66.39
ARG,Argentina,CATAMARCA,2014,5,28.95,2.87,0.3,60.4
ARG,Argentina,CATAMARCA,2014,6,25.82,1.28,0.64,52.14
ARG,Argentina,CATAMARCA,2014,7,26.88,1.28,0.14,48.6
ARG,Argentina,CATAMARCA,2014,8,34.91,3.8,0.0,38.17
ARG,Argentina,CATAMARCA,2014,9,35.91,6.0,0.13,38.1
ARG,Argentina,CATAMARCA,2014,10,39.75,9.65,0.51,38.45
ARG,Argentina,CATAMARCA,2014,11,38.05,12.86,1.38,44.54
ARG,Argentina,CATAMARCA,2014,12,41.61,11.79,2.78,48.71
ARG,Argentina,CATAMARCA,2015,1,37.13,15.33,5.13,58.6
ARG,Argentina,CATAMARCA,2015,2,35.77,12.07,4.41,64.22
ARG,Argentina,CATAMARCA,2015,3,33.25,11.9,2.52,70.24
ARG,Argentina,CATAMARCA,2015,4,31.13,11.2,0.42,65.75
ARG,Argentina,CATAMARCA,2015,5,29.27,8.3,0.19,59.75
ARG,Argentina,CATAMARCA,2015,6,30.48,3.28,0.02,49.64
ARG,Argentina,CATAMARCA,2015,7,30.29,2.89,0.26,46.24
ARG,Argentina,CATAMARCA,2015,8,35.23,1.91,0.82,46.09
ARG,Argentina,CATAMARCA,2015,9,35.22,5.42,0.12,40.19
ARG,Argentina,CATAMARCA,2015,10,39.87,6.61,1.16,42.5
ARG,Argentina,CATAMARCA,2015,11,35.73,10.49,2.35,53.14
ARG,Argentina,CATAMARCA,2015,12,38.14,13.61,3.96,53.65
ARG,Argentina,CATAMARCA,2016,1,40.25,16.54,5.76,61.45
ARG,Argentina,CATAMARCA,2016,2,37.09,16.82,2.05,63.65
ARG,Argentina,CATAMARCA,2016,3,35.56,12.53,1.28,64.13
ARG,Argentina,CATAMARCA,2016,4,33.36,1.7,2.69,63.84
ARG,Argentina,CATAMARCA,2016,5,29.44,4.63,0.31,71.54
ARG,Argentina,CATAMARCA,2016,6,22.01,0.77,1.19,64.27
ARG,Argentina,CATAMARCA,2016,7,26.9,2.76,0.16,56.63
ARG,Argentina,CATAMARCA,2016,8,34.62,2.47,0.22,46.02
ARG,Argentina,CATAMARCA,2016,9,34.5,0.11,0.17,44.19
ARG,Argentina,CATAMARCA,2016,10,37.3,7.82,0.48,41.86
ARG,Argentina,CATAMARCA,2016,11,39.3,8.02,3.81,46.55
ARG,Argentina,CATAMARCA,2016,12,39.47,13.11,1.48,52.49
ARG,Argentina,CATAMARCA,2017,1,40.68,18.34,1.78,49.5
ARG,Argentina,CATAMARCA,2017,2,36.62,16.51,4.03,56.75
ARG,Argentina,CATAMARCA,2017,3,36.51,13.63,3.23,64.33
ARG,Argentina,CATAMARCA,2017,4,31.49,7.94,3.21,64.27
ARG,Argentina,CATAMARCA,2017,5,28.29,2.8,0.19,63.24
ARG,Argentina,CATAMARCA,2017,6,30.45,2.19,0.13,51.2
ARG,Argentina,CATAMARCA,2017,7,29.8,-1.6,0.05,51.97
ARG,Argentina,CATAMARCA,2017,8,29.41,3.49,0.16,43.82
ARG,Argentina,CATAMARCA,2017,9,35.01,4.67,2.23,43.65
ARG,Argentina,CATAMARCA,2017,10,37.72,6.36,0.71,40.09
ARG,Argentina,CATAMARCA,2017,11,40.65,13.41,0.56,38.5
ARG,Argentina,CATAMARCA,2017,12,40.85,15.9,3.97,49.12
ARG,Argentina,CATAMARCA,2018,1,35.92,14.81,4.96,59.98
ARG,Argentina,CATAMARCA,2018,2,35.24,13.95,2.18,63.14
ARG,Argentina,CATAMARCA,2018,3,35.52,9.69,0.7,55.3
ARG,Argentina,CATAMARCA,2018,4,34.24,10.17,0.4,61.33
ARG,Argentina,CATAMARCA,2018,5,31.55,6.69,0.65,57.19
ARG,Argentina,CATAMARCA,2018,6,26.36,-1.55,0.06,43.53
ARG,Argentina,CATAMARCA,2018,7,30.13,-1.45,0.31,46.03
ARG,Argentina,CATAMARCA,2018,8,32.39,1.32,0.01,28.55
ARG,Argentina,CATAMARCA,2018,9,38.25,4.03,0.23,33.57
ARG,Argentina,CATAMARCA,2018,10,35.98,9.87,1.35,44.45
ARG,Argentina,CATAMARCA,2018,11,38.31,11.95,1.81,51.48
ARG,Argentina,CATAMARCA,2018,12,38.1,11.75,3.71,55.36
ARG,Argentina,CATAMARCA,2019,1,38.81,12.15,4.3,61.83
ARG,Argentina,CATAMARCA,2019,2,37.92,13.08,2.9,61.31
ARG,Argentina,CATAMARCA,2019,3,36.12,11.31,4.06,67.44
ARG,Argentina,CATAMARCA,2019,4,31.16,10.05,2.15,64.62
ARG,Argentina,CATAMARCA,2019,5,30.87,1.75,0.33,63.53
ARG,Argentina,CATAMARCA,2019,6,30.33,0.67,0.07,50.48
ARG,Argentina,CATAMARCA,2019,7,31.02,0.84,0.06,51.36
ARG,Argentina,CATAMARCA,2019,8,32.04,2.43,0.0,43.04
ARG,Argentina,CATAMARCA,2019,9,38.38,4.45,0.37,40.28
ARG,Argentina,CATAMARCA,2019,10,39.02,7.89,0.74,40.58
ARG,Argentina,CATAMARCA,2019,11,37.97,14.88,1.85,48.19
ARG,Argentina,CATAMARCA,2019,12,41.33,12.16,1.87,48.86
ARG,Argentina,CATAMARCA,2020,1,38.01,15.7,4.15,55.0
ARG,Argentina,CATAMARCA,2020,2,38.5,13.81,2.59,60.61
ARG,Argentina,CATAMARCA,2020,3,36.42,14.37,1.76,59.68
ARG,Argentina,CATAMARCA,2020,4,32.84,11.63,0.74,59.62
ARG,Argentina,CATAMARCA,2020,5,33.94,3.05,0.04,45.95
ARG,Argentina,CATAMARCA,2020,6,30.35,2.58,0.94,48.34
ARG,Argentina,CATAMARCA,2020,7,29.58,-0.51,0.03,41.91
ARG,Argentina,CATAMARCA,2020,8,34.11,2.55,0.0,31.79
ARG,Argentina,CATAMARCA,2020,9,38.3,2.92,0.0,34.19
ARG,Argentina,CATAMARCA,2020,10,39.93,7.78,1.03,39.35
ARG,Argentina,CATAMARCA,2020,11,37.91,10.43,2.37,46.8
ARG,Argentina,CATAMARCA,2020,12,38.33,12.52,1.8,49.36
ARG,Argentina,CATAMARCA,2021,1,38.23,15.99,2.78,55.7
ARG,Argentina,CATAMARCA,2021,2,35.74,15.3,2.67,61.3
ARG,Argentina,CATAMARCA,2021,3,33.17,9.57,6.53,67.0
ARG,Argentina,CATAMARCA,2021,4,31.35,11.67,1.12,68.89
ARG,Argentina,CATAMARCA,2021,5,29.09,4.05,0.34,58.49
ARG,Argentina,CATAMARCA,2021,6,29.01,-2.31,6.03,54.93
ARG,Argentina,CATAMARCA,2021,7,27.68,1.25,0.0,48.69
ARG,Argentina,CATAMARCA,2021,8,31.7,2.22,0.0,45.12
ARG,Argentina,CATAMARCA,2021,9,36.8,4.85,0.15,44.78
ARG,Argentina,CATAMARCA,2021,10,36.48,8.22,0.41,37.12
ARG,Argentina,CATAMARCA,2021,11,39.44,11.43,1.36,46.9
ARG,Argentina,CATAMARCA,2021,12,39.19,15.54,2.31,50.22
ARG,Argentina,CATAMARCA,2022,1,40.82,15.24,4.04,46.17
ARG,Argentina,CATAMARCA,2022,2,37.85,14.05,2.06,58.15
ARG,Argentina,CATAMARCA,2022,3,37.06,7.63,2.09,56.33
ARG,Argentina,CATAMARCA,2022,4,33.22,8.51,1.14,55.1
ARG,Argentina,CATAMARCA,2022,5,27.22,2.07,0.13,57.64
ARG,Argentina,CATAMARCA,2022,6,25.2,0.83,0.01,51.79
ARG,Argentina,CATAMARCA,2022,7,31.55,-0.05,0.16,41.03
ARG,Argentina,CATAMARCA,2022,8,33.18,1.94,0.01,32.25
ARG,Argentina,CATAMARCA,2022,9,35.61,4.17,1.15,31.72
ARG,Argentina,CATAMARCA,2022,10,38.25,5.28,0.16,39.06
ARG,Argentina,CATAMARCA,2022,11,36.34,7.16,4.22,41.77
ARG,Argentina,CATAMARCA,2022,12,39.88,12.72,2.31,49.72
ARG,Argentina,CHACO,2010,1,41.6,16.75,2.69,64.83
ARG,Argentina,CHACO,2010,2,44.95,15.92,5.57,61.17
ARG,Argentina,CHACO,2010,3,34.86,15.27,6.38,79.16
ARG,Argentina,CHACO,2010,4,36.4,9.62,2.03,72.08
ARG,Argentina,CHACO,2010,5,28.53,3.91,5.8,81.62
ARG,Argentina,CHACO,2010,6,29.61,4.87,0.37,80.54
ARG,Argentina,CHACO,2010,7,31.99,-0.27,0.81,69.18
ARG,Argentina,CHACO,2010,8,33.54,-0.86,0.58,64.68
ARG,Argentina,CHACO,2010,9,37.08,6.72,2.76,67.86
ARG,Argentina,CHACO,2010,10,39.9,9.05,2.28,55.38
ARG,Argentina,CHACO,2010,11,39.69,11.53,1.49,44.58
ARG,Argentina,CHACO,2010,12,42.81,11.8,3.19,56.1
ARG,Argentina,CHACO,2011,1,40.76,19.73,4.85,58.78
ARG,Argentina,CHACO,2011,2,35.49,15.93,6.07,74.89
ARG,Argentina,CHACO,2011,3,36.93,12.87,1.54,62.47
ARG,Argentina,CHACO,2011,4,34.81,9.47,4.6,66.6
ARG,Argentina,CHACO,2011,5,29.72,6.27,2.1,80.87
ARG,Argentina,CHACO,2011,6,30.41,0.0,1.57,77.06
ARG,Argentina,CHACO,2011,7,31.4,0.7,0.9,70.64
ARG,Argentina,CHACO,2011,8,37.29,0.44,0.02,58.47
ARG,Argentina,CHACO,2011,9,40.32,6.9,1.54,44.56
ARG,Argentina,CHACO,2011,10,39.18,12.06,3.46,59.33
ARG,Argentina,CHACO,2011,11,40.91,14.54,4.19,59.39
ARG,Argentina,CHACO,2011,12,43.85,13.98,2.56,48.37
ARG,Argentina,CHACO,2012,1,41.74,19.06,2.84,45.84
ARG,Argentina,CHACO,2012,2,40.65,18.45,1.74,54.41
ARG,Argentina,CHACO,2012,3,40.73,9.34,1.45,49.35
ARG,Argentina,CHACO,2012,4,35.5,6.25,4.5,70.72
ARG,Argentina,CHACO,2012,5,31.4,6.5,1.22,73.11
ARG,Argentina,CHACO,2012,6,31.13,-1.57,0.3,70.28
ARG,Argentina,CHACO,2012,7,31.35,2.2,0.21,57.58
ARG,Argentina,CHACO,2012,8,34.78,3.5,3.72,63.43
ARG,Argentina,CHACO,2012,9,39.58,5.74,0.17,52.45
ARG,Argentina,CHACO,2012,10,44.1,12.93,2.66,53.15
ARG,Argentina,CHACO,2012,11,40.3,15.08,3.34,57.14
ARG,Argentina,CHACO,2012,12,41.81,15.23,4.44,59.07
ARG,Argentina,CHACO,2013,1,41.49,12.68,2.7,54.47
ARG,Argentina,CHACO,2013,2,43.07,15.89,4.58,57.58
ARG,Argentina,CHACO,2013,3,39.17,12.13,1.87,64.51
ARG,Argentina,CHACO,2013,4,35.91,10.8,1.45,63.15
ARG,Argentina,CHACO,2013,5,37.01,7.6,1.28,67.0
ARG,Argentina,CHACO,2013,6,29.82,4.77,2.03,76.19
ARG,Argentina,CHACO,2013,7,32.77,-0.03,0.35,66.33
ARG,Argentina,CHACO,2013,8,36.18,0.08,0.54,52.56
ARG,Argentina,CHACO,2013,9,40.09,5.21,0.35,50.22
ARG,Argentina,CHACO,2013,10,38.51,8.31,3.43,59.39
ARG,Argentina,CHACO,2013,11,39.17,12.52,8.14,66.54
ARG,Argentina,CHACO,2013,12,41.94,17.31,2.33,57.45
ARG,Argentina,CHACO,2014,1,39.54,16.1,5.63,63.62
ARG,Argentina,CHACO,2014,2,41.24,14.03,3.95,55.91
